@relation 'after changing values-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z4.0-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,11,14,16,19'

@attribute Gender {Women,Men}
@attribute Season {Winter,All-Season,Summer}
@attribute Payment_Method {Card,UPI,Cash,'Net Banking'}
@attribute Customer_Type {New,Returning}
@attribute Selling_Price {Medium,Low,High}
@attribute Discount_Percentage {Moderate,Large,Small}
@attribute Quantity_Sold {Medium,Low,'Very Low',High}
@attribute Stock_Availability {Medium,High,Low}
@attribute Purchase_Frequency {Moderate,Frequent,Infrequent}
@attribute Store_Rating {Poor,Average,Excellent}
@attribute Markup {Medium,Low,High}
@attribute Sales_Category {'High Sales','Low Sales','Medium Sales'}

@data
Men,All-Season,Cash,New,Medium,Moderate,Medium,Low,Moderate,Excellent,Medium,'Low Sales'
Women,All-Season,UPI,Returning,Medium,Moderate,Medium,Low,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,UPI,Returning,High,Moderate,Medium,Low,Moderate,Poor,Medium,'Low Sales'
Men,Winter,UPI,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'Low Sales'
Men,Winter,Card,New,High,Small,Low,High,Infrequent,Average,Medium,'Low Sales'
Women,Winter,Cash,New,Low,Small,Medium,Medium,Moderate,Excellent,Low,'Low Sales'
Men,Winter,Cash,New,High,Small,'Very Low',Medium,Moderate,Poor,High,'Low Sales'
Men,All-Season,Card,Returning,Medium,Small,'Very Low',High,Frequent,Excellent,Medium,'Low Sales'
Women,Winter,Cash,New,Low,Moderate,Low,High,Moderate,Excellent,Low,'Low Sales'
Women,Winter,UPI,New,Medium,Large,'Very Low',High,Moderate,Average,Medium,'Low Sales'
Women,All-Season,Card,Returning,Medium,Large,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,Summer,Cash,New,Medium,Large,Low,Medium,Moderate,Poor,Medium,'Low Sales'
Men,Winter,Cash,New,Low,Moderate,Low,Medium,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Card,New,Medium,Small,'Very Low',Medium,Moderate,Average,Low,'Low Sales'
Women,Summer,UPI,Returning,High,Large,'Very Low',Medium,Moderate,Excellent,High,'Low Sales'
Men,Summer,Cash,Returning,Medium,Moderate,Medium,Medium,Moderate,Poor,Medium,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Moderate,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,Summer,Card,New,Medium,Moderate,'Very Low',High,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,'Net Banking',Returning,Medium,Moderate,Medium,Low,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,UPI,Returning,Medium,Small,'Very Low',Low,Moderate,Excellent,Medium,'Low Sales'
Men,Winter,UPI,New,Medium,Moderate,Medium,High,Moderate,Average,Medium,'Low Sales'
Women,Winter,'Net Banking',New,Medium,Large,'Very Low',Low,Moderate,Excellent,Medium,'Low Sales'
Women,All-Season,Cash,Returning,Medium,Moderate,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Men,All-Season,'Net Banking',Returning,Medium,Moderate,Low,Low,Frequent,Average,Medium,'Low Sales'
Women,Winter,Card,New,Medium,Moderate,Low,Low,Moderate,Excellent,Medium,'Low Sales'
Women,All-Season,Card,Returning,Medium,Moderate,High,High,Moderate,Average,Medium,'Low Sales'
Men,Summer,UPI,New,High,Moderate,High,Medium,Moderate,Excellent,High,'Low Sales'
Women,Winter,'Net Banking',New,High,Large,'Very Low',Low,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,Cash,Returning,Medium,Small,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,Card,New,Medium,Small,'Very Low',Low,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,'Net Banking',Returning,Medium,Large,High,Low,Moderate,Average,Medium,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Moderate,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,Card,Returning,Medium,Moderate,Low,Medium,Infrequent,Poor,Medium,'Low Sales'
Women,Summer,'Net Banking',Returning,Medium,Small,Medium,Medium,Moderate,Poor,Medium,'Low Sales'
Women,Summer,'Net Banking',New,Medium,Moderate,Medium,Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,UPI,Returning,Medium,Large,Low,Medium,Moderate,Poor,Low,'Low Sales'
Women,Summer,Cash,New,Medium,Moderate,Medium,Low,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Card,New,Medium,Moderate,Medium,Medium,Moderate,Average,Medium,'Low Sales'
Men,All-Season,Card,New,Medium,Moderate,Medium,High,Moderate,Average,Medium,'Low Sales'
Men,All-Season,Card,New,Medium,Small,High,High,Moderate,Poor,Medium,'Low Sales'
Men,Summer,UPI,Returning,Medium,Moderate,Medium,High,Moderate,Average,Medium,'Low Sales'
Women,Winter,'Net Banking',Returning,Medium,Small,High,Medium,Infrequent,Excellent,Medium,'Low Sales'
Men,Summer,'Net Banking',Returning,Medium,Large,'Very Low',Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,UPI,Returning,Medium,Small,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Men,Winter,Card,New,Medium,Large,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Men,Summer,UPI,Returning,Medium,Large,'Very Low',High,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,Cash,New,Medium,Small,Medium,High,Moderate,Average,Medium,'Low Sales'
Men,Summer,UPI,New,Medium,Large,High,Medium,Moderate,Excellent,Medium,'Low Sales'
Women,All-Season,'Net Banking',New,Low,Large,High,Medium,Moderate,Average,Low,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Small,Medium,Medium,Moderate,Excellent,Medium,'Low Sales'
Men,Summer,Card,New,Medium,Large,Medium,Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Moderate,'Very Low',High,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,Card,Returning,Medium,Large,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,UPI,Returning,Medium,Moderate,Medium,Low,Moderate,Average,Medium,'Low Sales'
Women,Summer,Cash,New,Medium,Small,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Women,Summer,'Net Banking',Returning,High,Small,High,Low,Frequent,Poor,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Small,Medium,High,Infrequent,Poor,Medium,'Low Sales'
Women,All-Season,Card,New,Medium,Small,'Very Low',Low,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,Card,New,Medium,Moderate,High,Medium,Moderate,Average,Medium,'Low Sales'
Women,Summer,UPI,New,Medium,Small,Medium,Medium,Moderate,Excellent,Medium,'Low Sales'
Men,Summer,'Net Banking',New,Medium,Moderate,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Cash,Returning,Low,Moderate,Medium,Medium,Moderate,Excellent,Low,'Low Sales'
Men,Summer,UPI,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Medium,'Low Sales'
Men,Summer,UPI,Returning,Medium,Large,'Very Low',Low,Infrequent,Excellent,Medium,'Low Sales'
Women,All-Season,'Net Banking',Returning,Medium,Small,Low,High,Moderate,Poor,Medium,'Low Sales'
Women,Summer,UPI,Returning,High,Large,High,Medium,Moderate,Average,High,'Low Sales'
Women,Winter,Card,New,Low,Moderate,High,High,Frequent,Poor,Medium,'Low Sales'
Men,Winter,Cash,New,Medium,Large,Low,Low,Moderate,Average,Medium,'Low Sales'
Women,Winter,Cash,New,Medium,Small,'Very Low',Medium,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Card,Returning,Medium,Small,'Very Low',High,Moderate,Average,Medium,'Low Sales'
Women,Winter,'Net Banking',New,Medium,Small,'Very Low',Medium,Infrequent,Poor,Low,'Low Sales'
Women,Winter,'Net Banking',New,Medium,Moderate,Low,High,Moderate,Average,High,'Low Sales'
Men,Winter,Card,New,Medium,Large,High,Medium,Moderate,Average,Medium,'Low Sales'
Women,Summer,Card,Returning,Medium,Moderate,'Very Low',High,Moderate,Average,Medium,'Low Sales'
Women,Summer,UPI,Returning,Low,Large,'Very Low',Low,Moderate,Excellent,Low,'Low Sales'
Men,Summer,Cash,New,Medium,Moderate,'Very Low',High,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,Cash,Returning,Low,Moderate,Low,Low,Frequent,Average,Medium,'Low Sales'
Women,Summer,Cash,Returning,High,Small,High,High,Moderate,Excellent,High,'Low Sales'
Women,All-Season,Cash,New,Medium,Small,'Very Low',Low,Moderate,Excellent,Low,'Low Sales'
Women,Winter,UPI,New,Medium,Large,Medium,Medium,Frequent,Average,Medium,'Low Sales'
Women,All-Season,Cash,New,Medium,Small,Medium,Low,Moderate,Average,Medium,'Low Sales'
Men,Summer,Card,New,High,Moderate,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,UPI,Returning,Medium,Large,High,Low,Moderate,Average,Medium,'Low Sales'
Women,All-Season,'Net Banking',Returning,Medium,Moderate,Low,Medium,Moderate,Poor,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Small,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,'Net Banking',New,Medium,Moderate,Medium,Low,Infrequent,Poor,Medium,'Low Sales'
Women,Winter,UPI,New,Medium,Large,Medium,High,Moderate,Average,Medium,'Low Sales'
Women,Winter,'Net Banking',New,Medium,Large,Medium,Low,Moderate,Average,Medium,'Low Sales'
Women,Winter,UPI,New,Low,Large,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
Women,Winter,Card,Returning,Medium,Large,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,Card,New,Medium,Small,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Card,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Poor,Low,'Low Sales'
Women,All-Season,UPI,Returning,Low,Small,High,High,Moderate,Average,Medium,'Low Sales'
Women,Summer,Card,New,Medium,Large,'Very Low',High,Moderate,Average,Medium,'Low Sales'
Women,All-Season,Card,New,Medium,Large,Medium,Medium,Infrequent,Poor,Medium,'Low Sales'
Men,All-Season,UPI,Returning,Medium,Moderate,High,Low,Moderate,Average,Medium,'Low Sales'
Women,Winter,Card,Returning,Medium,Small,Medium,High,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Cash,New,Medium,Large,Medium,Low,Infrequent,Poor,Medium,'Low Sales'
Men,All-Season,Card,Returning,Medium,Small,High,Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,UPI,Returning,Medium,Moderate,Medium,Medium,Moderate,Poor,Medium,'Low Sales'
Men,Summer,Card,Returning,Medium,Moderate,Low,Low,Moderate,Average,Medium,'Low Sales'
Women,Winter,Card,Returning,Medium,Moderate,Medium,Low,Moderate,Average,Medium,'Low Sales'
Women,Winter,UPI,Returning,Medium,Moderate,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
Men,Summer,'Net Banking',Returning,Medium,Moderate,Medium,Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Moderate,Medium,Medium,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,'Net Banking',New,Medium,Small,Medium,Medium,Moderate,Excellent,High,'Low Sales'
Men,Summer,UPI,New,Medium,Large,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Men,Summer,Cash,New,High,Large,Medium,Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,UPI,New,High,Moderate,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Women,Summer,Card,New,Medium,Small,High,Low,Frequent,Average,Medium,'Low Sales'
Women,Winter,'Net Banking',New,High,Small,Medium,Low,Frequent,Excellent,Medium,'Low Sales'
Women,All-Season,Cash,New,Medium,Small,Low,High,Moderate,Poor,Low,'Low Sales'
Women,Winter,'Net Banking',New,Medium,Small,High,Low,Moderate,Average,Medium,'Low Sales'
Men,Summer,Card,Returning,Medium,Moderate,High,High,Infrequent,Poor,Medium,'Low Sales'
Men,Winter,UPI,New,Medium,Small,Low,Medium,Moderate,Average,Low,'Low Sales'
Women,Winter,UPI,New,Medium,Small,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Women,All-Season,UPI,New,Low,Small,Low,Low,Moderate,Excellent,Low,'Low Sales'
Men,Summer,Cash,Returning,Medium,Large,Low,High,Moderate,Average,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Moderate,Low,High,Moderate,Excellent,Medium,'Low Sales'
Women,All-Season,'Net Banking',Returning,Medium,Small,Medium,High,Moderate,Average,High,'Low Sales'
Men,Winter,Card,Returning,Medium,Moderate,Low,Low,Moderate,Average,Medium,'Low Sales'
Women,All-Season,Cash,Returning,Medium,Small,High,Low,Moderate,Average,Medium,'Low Sales'
Women,Winter,'Net Banking',New,Medium,Small,High,Medium,Infrequent,Average,Medium,'Low Sales'
Men,Summer,'Net Banking',Returning,Medium,Moderate,Medium,Low,Moderate,Poor,Medium,'Low Sales'
Women,Winter,Cash,Returning,Medium,Large,Low,Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,UPI,Returning,Medium,Small,High,Low,Moderate,Poor,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Large,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,All-Season,UPI,Returning,Medium,Large,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Men,Winter,UPI,New,High,Large,High,High,Moderate,Excellent,High,'Low Sales'
Men,Winter,UPI,New,High,Moderate,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Men,All-Season,UPI,Returning,Medium,Large,Low,High,Infrequent,Average,Medium,'Low Sales'
Men,All-Season,Card,Returning,Medium,Moderate,Low,High,Moderate,Poor,Medium,'Low Sales'
Men,Summer,'Net Banking',Returning,Low,Moderate,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,All-Season,Cash,New,Low,Small,High,Medium,Moderate,Average,Low,'Low Sales'
Men,All-Season,'Net Banking',Returning,Medium,Moderate,'Very Low',Medium,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,Cash,New,Medium,Moderate,Medium,Medium,Moderate,Excellent,Medium,'Low Sales'
Men,Summer,UPI,Returning,High,Large,'Very Low',Medium,Infrequent,Average,Medium,'Low Sales'
Men,All-Season,UPI,New,Medium,Small,High,Low,Infrequent,Average,Medium,'Low Sales'
Men,All-Season,Card,New,Medium,Small,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,UPI,Returning,Medium,Small,'Very Low',High,Moderate,Average,Medium,'Low Sales'
Men,Winter,UPI,Returning,Medium,Moderate,Low,Medium,Moderate,Average,Medium,'Low Sales'
Women,All-Season,Cash,New,Medium,Large,'Very Low',Medium,Moderate,Poor,Medium,'Low Sales'
Women,Summer,UPI,Returning,Medium,Moderate,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Women,All-Season,'Net Banking',New,High,Moderate,High,Medium,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,UPI,New,Medium,Small,Low,Medium,Moderate,Excellent,Medium,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Large,'Very Low',Low,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,UPI,Returning,Medium,Small,'Very Low',High,Moderate,Average,Low,'Low Sales'
Men,Summer,Card,Returning,High,Moderate,Low,Low,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,'Net Banking',Returning,Medium,Moderate,Medium,Low,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,UPI,Returning,Medium,Moderate,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
Women,Winter,Card,Returning,Medium,Large,Medium,Medium,Moderate,Average,Medium,'Low Sales'
Men,Summer,Card,New,Medium,Moderate,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Women,Winter,Card,Returning,Low,Small,High,Low,Moderate,Poor,Low,'Low Sales'
Women,All-Season,Cash,Returning,High,Large,Medium,Low,Moderate,Poor,Medium,'Low Sales'
Men,Winter,Card,New,Medium,Large,Low,Low,Moderate,Excellent,Low,'Low Sales'
Men,Summer,'Net Banking',New,Medium,Moderate,Low,High,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,Cash,Returning,Medium,Small,'Very Low',High,Frequent,Average,Medium,'Low Sales'
Women,Summer,UPI,Returning,Medium,Large,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Men,All-Season,UPI,New,Medium,Moderate,Medium,Low,Moderate,Poor,Low,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Small,Low,High,Moderate,Average,Medium,'Low Sales'
Women,Winter,'Net Banking',New,Medium,Small,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,UPI,Returning,Medium,Small,Medium,High,Moderate,Excellent,Low,'Low Sales'
Women,Winter,UPI,Returning,Medium,Moderate,Medium,High,Moderate,Excellent,Low,'Low Sales'
Men,Winter,'Net Banking',Returning,Low,Small,'Very Low',Medium,Moderate,Excellent,Low,'Low Sales'
Women,Winter,Cash,New,High,Large,'Very Low',Medium,Moderate,Average,High,'Low Sales'
Men,Summer,'Net Banking',Returning,Medium,Large,Low,Low,Infrequent,Average,Medium,'Low Sales'
Women,Winter,Card,New,Medium,Small,Low,Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Moderate,Medium,Low,Moderate,Average,Medium,'Low Sales'
Women,Winter,Card,New,Medium,Moderate,High,Medium,Moderate,Average,Medium,'Low Sales'
Women,Summer,UPI,Returning,Medium,Moderate,Low,Medium,Moderate,Average,Medium,'Low Sales'
Women,Winter,Card,Returning,Medium,Large,'Very Low',Medium,Moderate,Excellent,Low,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Small,'Very Low',High,Infrequent,Average,Medium,'Low Sales'
Women,All-Season,'Net Banking',Returning,Medium,Small,'Very Low',High,Moderate,Poor,Medium,'Low Sales'
Women,Winter,Cash,Returning,Medium,Moderate,Medium,Low,Moderate,Average,Medium,'Low Sales'
Women,Summer,UPI,Returning,Medium,Large,High,Medium,Infrequent,Excellent,Medium,'Low Sales'
Women,All-Season,Card,New,Medium,Moderate,Medium,High,Moderate,Poor,Medium,'Low Sales'
Women,Summer,'Net Banking',New,Medium,Moderate,Low,Low,Moderate,Poor,Medium,'Low Sales'
Men,Winter,Card,Returning,Medium,Moderate,Medium,High,Moderate,Average,Medium,'Low Sales'
Women,Summer,UPI,New,Medium,Moderate,Low,High,Infrequent,Poor,Medium,'Low Sales'
Women,Winter,Card,Returning,Medium,Small,Low,Low,Moderate,Poor,High,'Low Sales'
Women,All-Season,'Net Banking',Returning,Medium,Large,Low,High,Frequent,Poor,Medium,'Low Sales'
Men,Winter,Cash,New,Medium,Large,Low,Low,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,Cash,Returning,Medium,Moderate,Medium,High,Moderate,Excellent,Medium,'Low Sales'
Men,Winter,Cash,Returning,Medium,Moderate,High,High,Moderate,Average,Medium,'Low Sales'
Men,All-Season,'Net Banking',Returning,Medium,Moderate,'Very Low',Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,Cash,New,Medium,Moderate,High,Low,Moderate,Poor,Medium,'Low Sales'
Women,All-Season,Card,Returning,Medium,Large,'Very Low',Low,Infrequent,Poor,Medium,'Low Sales'
Women,All-Season,Card,New,Medium,Moderate,High,Low,Moderate,Poor,Medium,'Low Sales'
Women,Summer,Cash,New,Medium,Moderate,Medium,High,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,Cash,Returning,Medium,Large,High,High,Infrequent,Average,Medium,'Low Sales'
Men,All-Season,UPI,Returning,Medium,Moderate,Low,High,Moderate,Average,Medium,'Low Sales'
Women,All-Season,Cash,New,High,Large,Low,Low,Moderate,Average,Medium,'Low Sales'
Women,Summer,'Net Banking',Returning,Low,Small,Low,Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,Cash,Returning,Medium,Small,Low,Medium,Moderate,Poor,Medium,'Low Sales'
Women,Summer,Card,New,High,Small,'Very Low',High,Moderate,Average,High,'Low Sales'
Women,Summer,'Net Banking',Returning,Medium,Large,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Women,All-Season,Card,New,Medium,Moderate,'Very Low',Medium,Infrequent,Poor,Low,'Low Sales'
Women,All-Season,'Net Banking',New,Medium,Small,'Very Low',High,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,Cash,Returning,Medium,Large,High,High,Infrequent,Average,Medium,'Low Sales'
Women,All-Season,'Net Banking',New,Medium,Small,Medium,High,Moderate,Poor,Medium,'Low Sales'
Women,Summer,Card,New,Medium,Moderate,Low,Low,Moderate,Average,Medium,'Low Sales'
Women,Summer,'Net Banking',Returning,Medium,Small,Medium,Low,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,Cash,New,High,Large,Low,Medium,Moderate,Poor,High,'Low Sales'
Women,Summer,'Net Banking',Returning,Medium,Moderate,Medium,Medium,Infrequent,Average,Medium,'Low Sales'
Women,All-Season,'Net Banking',New,Medium,Small,High,Medium,Infrequent,Excellent,Medium,'Low Sales'
Men,All-Season,Cash,Returning,Medium,Small,'Very Low',High,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,Cash,New,Medium,Moderate,'Very Low',Low,Infrequent,Poor,Medium,'Low Sales'
Men,Winter,Card,New,Medium,Moderate,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Women,Summer,Cash,Returning,Medium,Moderate,High,High,Moderate,Excellent,Medium,'Low Sales'
Women,All-Season,Cash,New,Medium,Moderate,Low,High,Moderate,Average,Medium,'Low Sales'
Women,Summer,Card,New,Medium,Moderate,Medium,High,Moderate,Average,Medium,'Low Sales'
Men,Winter,Card,Returning,Medium,Small,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Men,Summer,Cash,Returning,Medium,Moderate,High,Low,Moderate,Excellent,Medium,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Moderate,Medium,High,Moderate,Average,Medium,'Low Sales'
Women,Winter,'Net Banking',Returning,High,Large,Medium,High,Moderate,Average,High,'Low Sales'
Men,Summer,Card,Returning,High,Large,High,High,Moderate,Excellent,High,'Low Sales'
Women,Summer,'Net Banking',Returning,Medium,Large,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Women,All-Season,'Net Banking',New,Medium,Small,High,Medium,Infrequent,Average,Medium,'Low Sales'
Women,All-Season,'Net Banking',Returning,Medium,Moderate,High,Low,Moderate,Poor,Medium,'Low Sales'
Men,Summer,'Net Banking',Returning,Medium,Moderate,'Very Low',High,Moderate,Average,Low,'Low Sales'
Women,Summer,Card,Returning,Medium,Moderate,Medium,Low,Moderate,Excellent,Medium,'Low Sales'
Women,All-Season,Cash,New,Medium,Moderate,Medium,Medium,Moderate,Average,Medium,'Low Sales'
Men,Summer,UPI,Returning,Medium,Moderate,Medium,Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Moderate,Low,Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,Card,Returning,Medium,Moderate,'Very Low',Medium,Moderate,Excellent,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Large,'Very Low',High,Moderate,Excellent,Medium,'Low Sales'
Men,Summer,Card,New,Medium,Small,Medium,High,Moderate,Average,Medium,'Low Sales'
Women,All-Season,UPI,New,Medium,Small,Low,High,Infrequent,Excellent,Medium,'Low Sales'
Men,Winter,Cash,New,Medium,Moderate,Low,Medium,Moderate,Poor,Medium,'Low Sales'
Men,Winter,'Net Banking',New,Medium,Moderate,Low,Medium,Moderate,Average,Medium,'Low Sales'
Men,Summer,Card,New,Medium,Moderate,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
Women,Winter,Card,New,Medium,Small,Medium,High,Moderate,Poor,Medium,'Low Sales'
Men,Summer,'Net Banking',Returning,Medium,Moderate,High,Low,Moderate,Poor,Medium,'Low Sales'
Men,Summer,'Net Banking',New,Medium,Moderate,High,Medium,Moderate,Poor,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Low,Large,Low,Medium,Moderate,Excellent,Low,'Low Sales'
Men,Summer,UPI,New,Medium,Moderate,'Very Low',Medium,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,'Net Banking',New,Low,Small,Low,Medium,Moderate,Excellent,Low,'Low Sales'
Women,All-Season,Cash,New,High,Small,'Very Low',Medium,Moderate,Excellent,Medium,'Low Sales'
Men,Summer,Cash,Returning,Medium,Moderate,High,Low,Moderate,Excellent,Medium,'Low Sales'
Women,All-Season,UPI,Returning,Medium,Moderate,Low,High,Moderate,Average,Medium,'Low Sales'
Women,All-Season,UPI,Returning,Medium,Large,High,Medium,Moderate,Average,Medium,'Low Sales'
Men,Winter,UPI,Returning,Low,Large,Medium,Low,Moderate,Average,Medium,'Low Sales'
Women,Summer,Cash,Returning,Medium,Small,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Women,Summer,UPI,Returning,Medium,Large,Low,Low,Moderate,Poor,Medium,'Low Sales'
Women,Summer,UPI,Returning,Medium,Large,High,Medium,Moderate,Excellent,Low,'Low Sales'
Women,Winter,'Net Banking',Returning,Medium,Moderate,Low,Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Summer,Cash,New,Medium,Small,High,High,Moderate,Poor,Medium,'Low Sales'
Women,All-Season,Cash,New,Medium,Small,Low,Low,Moderate,Poor,Medium,'Low Sales'
Women,Winter,'Net Banking',Returning,High,Small,High,High,Moderate,Poor,Medium,'Low Sales'
Women,All-Season,UPI,New,Medium,Large,Low,Low,Moderate,Poor,Medium,'Low Sales'
Men,Winter,'Net Banking',Returning,Medium,Small,Medium,Medium,Moderate,Poor,Medium,'Low Sales'
Women,Winter,'Net Banking',New,Medium,Small,Medium,High,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,Card,New,Medium,Moderate,'Very Low',Low,Moderate,Average,Medium,'Low Sales'
Women,Winter,Card,New,Medium,Moderate,Low,High,Moderate,Average,Medium,'Low Sales'
Women,Summer,Cash,New,High,Small,'Very Low',Medium,Moderate,Poor,High,'Low Sales'
Women,Winter,Card,Returning,Medium,Small,Medium,High,Moderate,Average,Medium,'Low Sales'
Women,All-Season,UPI,Returning,Medium,Large,Low,Medium,Moderate,Average,Medium,'Low Sales'
Men,Summer,'Net Banking',Returning,Medium,Large,'Very Low',Medium,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,UPI,Returning,Medium,Small,Low,High,Moderate,Poor,Medium,'Low Sales'
Men,All-Season,Card,Returning,Medium,Large,'Very Low',High,Infrequent,Poor,Medium,'Low Sales'
Women,Winter,'Net Banking',Returning,Medium,Large,Low,High,Infrequent,Excellent,Medium,'Low Sales'
Men,All-Season,'Net Banking',Returning,Medium,Small,High,Low,Infrequent,Poor,Medium,'Low Sales'
Men,Summer,UPI,New,Medium,Large,Medium,Medium,Infrequent,Average,Medium,'Low Sales'
Men,Winter,Card,New,Medium,Moderate,'Very Low',Medium,Moderate,Excellent,Medium,'Low Sales'
Women,Winter,Cash,Returning,Medium,Small,Medium,Low,Moderate,Excellent,Medium,'Low Sales'
Men,All-Season,'Net Banking',Returning,Medium,Large,High,High,Moderate,Excellent,High,'Low Sales'
Women,All-Season,Cash,Returning,Medium,Large,'Very Low',Medium,Moderate,Average,Medium,'Low Sales'
Women,All-Season,Card,Returning,Medium,Small,Low,High,Frequent,Poor,Medium,'Low Sales'
Women,Winter,Card,Returning,Medium,Small,'Very Low',Low,Moderate,Poor,Medium,'Low Sales'
